PitcherId,PitcherTeam,PitcherHand,OutsRecorded,InningsPitched,1B,2B,3B,HR,Strikeouts,Walks,TotalBattersFaced,BAA,WHIP,TotalPitches,Strikes,StrikePercentage,FF,FF_K%,SI,SI_K%,FC,FC_K%,CU,CU_K%,CH,CH_K%,SL,SL_K%,KC,KC_K%
11,1,L,18,6.0,7,1,0,0,5,1,26,0.308,1.5,95,56,0.589,23,69.6,20,70.0,0,0,30,50.0,11,54.5,10,50.0,0,0
1,2,R,15,5.0,4,1,0,1,6,1,22,0.273,1.4,102,62,0.608,41,68.3,0,0,12,58.3,15,33.3,19,73.7,15,53.3,0,0
6,2,R,3,1.0,0,0,0,0,2,0,3,0.0,0.0,14,7,0.5,4,50.0,0,0,0,0,0,0,2,0.0,0,0,8,62.5
2,1,R,3,1.0,0,0,0,0,2,0,3,0.0,0.0,10,6,0.6,2,100.0,1,100.0,0,0,0,0,3,66.7,4,25.0,0,0
4,2,L,3,1.0,0,0,0,0,0,1,4,0.0,1.0,12,5,0.417,3,66.7,0,0,3,66.7,0,0,4,25.0,0,0,0,0
5,1,R,3,1.0,1,1,0,0,0,0,5,0.4,2.0,26,16,0.615,1,100.0,3,100.0,0,0,8,50.0,0,0,14,57.1,0,0
13,2,R,2,0.67,1,0,0,0,0,0,3,0.333,1.493,15,8,0.533,9,55.6,0,0,0,0,0,0,0,0,6,50.0,0,0
16,2,L,1,0.33,1,0,0,0,1,0,2,0.5,3.03,11,5,0.455,0,0,4,50.0,3,66.7,0,0,0,0,4,25.0,0,0
12,1,R,3,1.0,3,0,0,0,1,0,6,0.5,3.0,19,13,0.684,6,66.7,0,0,0,0,0,0,8,62.5,5,80.0,0,0
3,2,R,3,1.0,1,0,0,0,2,0,4,0.25,1.0,16,7,0.438,0,0,1,100.0,11,54.5,0,0,0,0,2,0.0,0,0
14,1,L,3,1.0,0,0,0,1,0,1,5,0.2,2.0,12,4,0.333,10,30.0,0,0,0,0,0,0,0,0,2,50.0,0,0
8,2,R,3,1.0,0,0,0,0,0,1,3,0.0,1.0,8,2,0.25,1,100.0,4,25.0,1,0.0,0,0,0,0,0,0,0,0
