PitchID,PitcherHand,PitchType,ReleaseSpeed,TrajectoryHorizontalBreak,TrajectoryVerticalBreakInduced,ReleasePositionX,ReleasePositionZ
242,R,CH,89.35683608,1.004864216,0.307444841,-2.346121311,5.958098412
65,R,CH,90.52002705,0.883694947,0.185175568,-2.304100752,5.858834743
391,R,FF,100.6862738,0.823246598,1.078804851,-1.999847054,5.921379566
430,R,CH,91.14898015,0.901337206,0.065156214,-2.168565035,5.785008907
38,R,CH,89.97249434,0.996041119,0.350639671,-2.33707571,5.864822388
389,R,FF,99.68215484,0.584180653,1.262660861,-1.667838693,5.905783176
315,R,SL,87.67264461,-0.415620536,0.036478281,-2.120794058,5.831522465
492,R,SL,91.77804155,-0.432180405,0.056659803,-2.017662525,5.776520252
197,R,FF,100.0550628,0.44879657,0.977149487,-1.926080942,5.810066223
320,R,CH,91.00564905,0.663576245,0.166058108,-2.200732946,5.686336517
115,R,FF,100.0145138,0.555702806,1.239212871,-1.911174297,5.703804016
327,R,CH,90.64356058,1.190591335,0.137387097,-2.17874074,5.749775887
462,R,CH,92.75043958,0.886374354,0.342598647,-2.153162241,5.723387718
277,R,CH,91.85913267,1.166988373,-0.087205924,-2.196587086,5.682356834
158,R,SL,89.52998726,-0.53966856,-0.162831753,-2.173487663,5.739533424
3,R,SL,89.87682859,-0.318754643,-0.00821063,-2.241497278,5.655047894
373,R,FF,100.460295,0.346371591,1.237947583,-1.967202663,5.820315838
188,R,SL,89.1864205,-0.448978782,-0.075437777,-2.221155167,5.674762249
149,R,FF,98.13805019,0.683710456,1.174733162,-2.126609802,5.809551716
583,R,CH,89.49710891,0.727778196,0.365123779,-2.010495663,5.821219921
